,Unnamed: 0,ref_img,other_img,result,expected_result,cos_dist_np,cos_dist_sfe,total_time,sfe_time,extraction_time,Command being timed,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss),Average shared text size (kbytes),Average unshared data size (kbytes),Average stack size (kbytes),Average total size (kbytes),Maximum resident set size (kbytes),Average resident set size (kbytes),Major (requiring I/O) page faults,Minor (reclaiming a frame) page faults,Voluntary context switches,Involuntary context switches,Swaps,File system inputs,File system outputs,Socket messages sent,Socket messages received,Signals delivered,Page size (bytes),Exit status,energy_client,energy_server,online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe.1
0,0,lfw/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0001.jpg,lfw/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0002.jpg,True,True,0.4069041609764099,0.4069042206,96.82115817070007,59.56036686897278,37.260791301727295,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",34.39,9.73,75%,0:58.83,0,0,0,0,146324,0,5,61843,71051,46865,0,1512,0,0,0,0,4096,0,not measured,not measured,850.069,922.809,741.509,18.254,15.915,6.684,15.404,13.697,6.302,14.812,12.473,19.387,14.127,11.998,94.737,30860.413,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,43197.904,0.704,0.508,27.074,4507.554,9515.005,9473.239,0.012,33682.889,31648990,31648478,49956,49956,31099273,31099273,31099273,31099273,0,0,549717,549205,0.4069042206,0.4069042206
1,1,lfw/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0001.jpg,lfw/Sandra_Banning/Sandra_Banning_0001.jpg,False,False,0.8859251663088799,0.8859251738,101.81693935394289,60.19732999801636,41.619609355926514,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",34.49,9.3,73%,0:59.44,0,0,0,0,148428,0,25,62352,72262,46754,0,4208,0,0,0,0,4096,0,not measured,not measured,851.793,913.099,735.577,17.061,14.71,8.753,15.58,13.81,4.818,15.107,16.48,16.372,16.266,13.516,98.294,30889.7459999999,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,43639.169,0.677,0.563,74.308,4547.69,9931.576,9889.31,0.013,33707.58,31648999,31648478,49947,49956,31099282,31099273,31099273,31099273,0,0,549717,549205,0.8859251738,0.8859251738
2,0,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0002.jpg,True,True,0.4856290221214294,0.4856289625,100.15614700317384,59.72008776664734,40.43605923652649,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",34.77,9.56,75%,0:59.04,0,0,0,0,150420,0,3,62877,72040,44878,0,576,0,0,0,0,4096,0,not measured,not measured,847.741,919.718,745.795,15.75,14.324,7.977,14.306,13.416,4.413,15.597,15.437,16.225,16.19,15.102,103.889,30671.7279999999,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,43284.79,0.834,0.553,18.833,4529.576,9784.566,9742.763,0.012,33500.214,31648990,31648478,49956,49956,31099273,31099273,31099273,31099273,0,0,549717,549205,0.4856289625,0.4856289625
3,1,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0003.jpg,True,True,0.4750053286552429,0.4750052691,100.15546655654909,61.20375943183899,38.95170712471008,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",34.66,8.9,71%,1:00.54,0,0,0,0,154460,0,3,63897,70964,45964,0,856,0,0,0,0,4096,0,not measured,not measured,853.044,925.518,751.637,15.666,15.361,8.687,15.746,12.775,6.639,14.382,16.176,16.491,16.162,14.442,92.864,30842.795,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,44768.035,0.911,0.562,122.35,4538.462,11090.97,11049.03,0.012,33677.054,31648990,31648478,49956,49956,31099273,31099273,31099273,31099273,0,0,549717,549205,0.4750052691,0.4750052691
4,2,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0004.jpg,False,True,0.6170364320278168,0.6170363426,98.62537956237792,60.72747278213501,37.89790678024292,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",34.56,9.62,73%,1:00.01,0,0,0,0,152444,0,22,63377,71677,45649,0,3472,0,0,0,0,4096,0,not measured,not measured,836.735,916.827,733.993,16.795,14.365,4.899,14.655,12.143,4.781,13.837,16.125,13.59,14.425,13.509,95.119,31018.615,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,44172.841,0.758,0.6,22.868,4512.951,10375.701,10333.709,0.013,33797.129,31648990,31648478,49956,49956,31099273,31099273,31099273,31099273,0,0,549717,549205,0.6170363426,0.6170363426
5,3,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0005.jpg,True,True,0.5916658043861389,0.5916658044,101.14825415611269,60.27047801017761,40.87777614593506,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",34.49,9.75,74%,0:59.47,0,0,0,0,150444,0,11,62876,72391,46015,0,1312,0,0,0,0,4096,0,not measured,not measured,845.03,920.269,735.389,16.817,14.449,5.874,14.132,12.147,5.081,13.315,13.854,15.252,13.614,14.286,92.721,30880.533,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,43740.233,0.708,0.509,27.265,4479.118,10065.605,10023.915,0.012,33674.618,31648990,31648478,49956,49956,31099273,31099273,31099273,31099273,0,0,549717,549205,0.5916658044,0.5916658044
6,4,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Michael_Sheehan/Michael_Sheehan_0001.jpg,False,False,0.8264807462692261,0.8264807463,99.43112063407898,60.83804368972778,38.5930769443512,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",34.67,9.52,73%,1:00.15,0,0,0,0,146200,0,3,61848,71908,48101,0,856,0,0,0,0,4096,0,not measured,not measured,838.399,921.748,753.364,16.115,13.075,6.802,12.947,12.111,4.973,14.391,15.221,16.861,15.491,14.251,93.354,32169.7909999998,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,44441.111,0.825,0.573,29.87,4456.923,9458.002,9416.032,0.013,34983.097,31648990,31648478,49956,49956,31099273,31099273,31099273,31099273,0,0,549717,549205,0.8264807463,0.8264807463
7,5,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Eric_Robert_Rudolph/Eric_Robert_Rudolph_0001.jpg,False,False,0.8486536592245102,0.8486536145,97.67649960517883,60.01002788543701,37.66647171974182,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",34.48,9.64,74%,0:59.31,0,0,0,0,148288,0,3,62360,72673,48064,0,1128,0,0,0,0,4096,0,not measured,not measured,851.934,914.663,739.921,16.167,15.16,5.44,13.311,12.073,4.002,14.53,15.669,16.95,14.041,13.897,106.916,30988.564,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,43608.476,0.663,0.616,26.33,4497.037,9797.808,9755.729,0.012,33810.657,31648990,31648478,49956,49956,31099273,31099273,31099264,31099273,0,0,549717,549205,0.8486536145,0.8486536145
8,6,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Mohamed_Hammam/Mohamed_Hammam_0001.jpg,False,False,0.925228551030159,0.9252285957,96.7754442691803,60.93663191795349,35.83881235122681,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",34.83,9.48,73%,1:00.10,0,0,0,0,152396,0,13,63379,72280,46117,0,2336,0,0,0,0,4096,0,not measured,not measured,852.415,918.373,754.458,16.874,14.029,6.395,14.497,11.817,4.669,14.727,15.264,18.592,15.822,13.38,90.494,30899.616,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,44275.822,0.765,0.61,25.236,4525.218,10548.063,10506.119,0.013,33727.746,31648999,31648478,49947,49956,31099282,31099273,31099273,31099273,0,0,549717,549205,0.9252285957,0.9252285957
9,7,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/AnFernce_Negron/AnFernce_Negron_0001.jpg,False,False,1.072260655462742,1.0722606182,98.27179050445557,60.4101984500885,37.861592054367065,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",34.39,9.59,73%,0:59.74,0,0,0,0,152312,0,12,63383,72318,46141,0,1712,0,0,0,0,4096,0,not measured,not measured,846.347,920.078,753.306,16.923,13.129,6.425,12.849,11.931,4.463,14.531,15.064,18.049,15.501,12.442,87.071,30725.896,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,44017.128,0.603,3.249,132.209,4545.916,10477.541,10435.862,0.012,33539.575,31648990,31648478,49956,49956,31099273,31099273,31099273,31099273,0,0,549717,549205,1.0722606182,1.0722606182
