,Unnamed: 0,ref_img,other_img,result,expected_result,cos_dist_np,cos_dist_sfe,total_time,sfe_time,extraction_time,Command being timed,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss),Average shared text size (kbytes),Average unshared data size (kbytes),Average stack size (kbytes),Average total size (kbytes),Maximum resident set size (kbytes),Average resident set size (kbytes),Major (requiring I/O) page faults,Minor (reclaiming a frame) page faults,Voluntary context switches,Involuntary context switches,Swaps,File system inputs,File system outputs,Socket messages sent,Socket messages received,Signals delivered,Page size (bytes),Exit status,energy_used,online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe.1
0,0,lfw/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0001.jpg,lfw/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0002.jpg,True,True,0.4069041609764099,0.4069042206,73.54337406158447,71.61359739303589,1.929776668548584,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",3.26,2.07,7%,1:11.13,0,0,0,0,176380,0,0.0,68661.0,63757.0,427.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,168.198,198.438,200.018,7.367,5.047,5.028,6.036,4.556,5.135,8.246,5.925,13.654,7.642,5.085,47.113,44448.6600000001,1878982,8080,1878982,1878982,1740116,596354,0,0,0.0,12288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1339400,8080,70000.187,0.1,0.122,178.709,298.178,24831.62,24829.599,0.002,45168.564,31648990.0,31648478.0,49956.0,49956.0,31099273.0,31099273.0,31099273.0,31099273.0,0.0,0.0,549717.0,549205.0,0.4069042206,0.4069042206
1,1,lfw/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0001.jpg,lfw/Ahmed_Chalabi/Ahmed_Chalabi_0004.jpg,False,False,0.6830697655677795,0.6830698252,80.50964784622192,78.57387685775757,1.9357709884643557,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",3.42,1.95,6%,1:18.03,0,0,0,0,176140,0,0.0,68655.0,63759.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,168.349,196.832,203.913,7.384,4.96,4.924,6.298,4.829,5.555,9.011,5.92,13.609,6.843,4.928,47.316,49206.134,1878982,8080,1878982,1878982,1740116,596354,0,0,0.0,12288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1339400,8080,76794.579,0.098,0.122,244.844,308.951,26871.122,26869.191,0.002,49923.454,31648999.0,31648478.0,49947.0,49956.0,31099282.0,31099273.0,31099264.0,31099273.0,0.0,0.0,549717.0,549205.0,0.6830698252,0.6830698252
2,0,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0002.jpg,True,True,0.4856290221214294,0.4856289625,79.93574500083923,78.00436496734619,1.931380033493042,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",3.34,1.75,6%,1:17.49,0,0,0,0,176108,0,1.0,68658.0,63287.0,644.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,163.838,192.927,195.362,6.246,4.731,4.881,5.734,4.525,4.527,7.411,5.92,12.361,6.363,9.691,44.687,48952.46,1878982,8080,1878982,1878982,1740116,596354,0,0,0.0,12288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1339400,8080,76295.409,0.076,0.103,266.353,265.19,26651.588,26649.967,0.001,49643.82,31648990.0,31648478.0,49956.0,49956.0,31099273.0,31099273.0,31099273.0,31099273.0,0.0,0.0,549717.0,549205.0,0.4856289625,0.4856289625
3,1,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0003.jpg,True,True,0.4750053286552429,0.4750052691,84.57279872894287,82.64656710624695,1.9262316226959229,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",3.24,2.02,6%,1:22.01,0,0,0,0,175972,0,0.0,68652.0,62981.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,164.931,193.647,194.748,6.929,4.802,6.024,6.138,4.82,4.959,7.625,5.819,12.509,7.139,5.758,45.753,49356.5680000002,1878982,8080,1878982,1878982,1740116,596354,0,0,0.0,12288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1339400,8080,80872.53,0.101,0.122,168.339,293.944,30822.441,30820.49,0.002,50050.087,31648990.0,31648478.0,49956.0,49956.0,31099273.0,31099273.0,31099273.0,31099273.0,0.0,0.0,549717.0,549205.0,0.4750052691,0.4750052691
4,2,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0004.jpg,False,True,0.6170364320278168,0.6170363426,78.83037090301514,76.89115452766418,1.939216375350952,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",3.33,2.0,6%,1:16.35,0,0,0,0,175972,0,0.0,68656.0,63399.0,489.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,168.009,196.306,197.505,7.707,5.063,5.458,6.029,4.926,5.329,7.581,6.088,12.753,7.025,4.947,45.455,48841.644,1878982,8080,1878982,1878982,1740116,596354,0,0,0.0,12288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1339400,8080,75145.109,0.099,0.113,236.122,295.214,25601.834,25599.628,0.002,49543.274,31648990.0,31648478.0,49956.0,49947.0,31099273.0,31099273.0,31099264.0,31099273.0,0.0,0.0,549717.0,549205.0,0.6170363426,0.6170363426
5,3,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0005.jpg,True,True,0.5916658043861389,0.5916658044,81.77748894691467,79.84442830085754,1.933060646057129,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",2.99,2.07,6%,1:19.42,0,0,0,0,176320,0,0.0,68659.0,62859.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,164.439,191.913,195.209,6.838,4.707,5.686,5.766,4.733,5.289,7.082,5.57,12.581,6.492,4.68,44.898,50613.7359999998,1878982,8080,1878982,1878982,1740116,596354,0,0,0.0,12288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1339400,8080,78231.841,0.056,0.077,266.62,268.822,26921.431,26919.507,0.002,51310.408,31648990.0,31648478.0,49956.0,49956.0,31099273.0,31099273.0,31099273.0,31099273.0,0.0,0.0,549717.0,549205.0,0.5916658044,0.5916658044
6,4,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Janette_Husarova/Janette_Husarova_0001.jpg,False,False,0.8990150317549706,0.8990150094,86.63011384010315,84.6735053062439,1.956608533859253,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",3.11,2.07,6%,1:24.09,0,0,0,0,176076,0,0.0,68658.0,63260.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,165.062,195.561,196.979,7.228,4.802,4.846,6.189,4.53,4.689,6.944,5.995,12.179,7.225,4.709,46.865,51830.3160000001,1878982,8080,1878982,1878982,1740116,596354,0,0,0.0,12288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1339400,8080,82896.726,0.081,0.096,223.403,313.96,30363.893,30362.109,0.003,52532.831,31648990.0,31648478.0,49956.0,49956.0,31099273.0,31099273.0,31099273.0,31099273.0,0.0,0.0,549717.0,549205.0,0.8990150094,0.8990150094
7,5,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Vecdi_Gonul/Vecdi_Gonul_0001.jpg,False,False,0.858841136097908,0.8588411212,79.24043202400208,77.30642008781433,1.934011936187744,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",3.35,2.06,7%,1:16.80,0,0,0,0,176212,0,1.0,68656.0,63564.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,166.784,197.916,201.043,6.996,5.166,5.215,6.303,4.861,4.72,8.522,6.091,15.434,6.744,5.25,47.859,49088.0570000002,1878982,8080,1878982,1878982,1740116,596354,0,0,0.0,12288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1339400,8080,75571.815,0.102,0.146,253.462,273.027,25773.439,25771.821,0.001,49798.375,31648990.0,31648478.0,49956.0,49956.0,31099273.0,31099273.0,31099273.0,31099273.0,0.0,0.0,549717.0,549205.0,0.8588411212,0.8588411212
8,6,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Baz_Luhrmann/Baz_Luhrmann_0001.jpg,False,False,0.9387265257537364,0.9387265444,80.33461856842041,78.40531063079834,1.9293079376220703,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",3.15,2.03,6%,1:17.85,0,0,0,0,176192,0,0.0,68655.0,63806.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,163.796,193.734,194.916,6.9,4.807,5.128,5.632,4.654,4.558,7.649,5.732,12.049,6.674,4.784,45.438,51395.4230000002,1878982,8080,1878982,1878982,1740116,596354,0,0,0.0,12288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1339400,8080,76592.845,0.072,0.083,279.535,328.586,24508.665,24504.856,0.002,52084.178,31648990.0,31648478.0,49956.0,49956.0,31099273.0,31099273.0,31099273.0,31099273.0,0.0,0.0,549717.0,549205.0,0.9387265444,0.9387265444
9,7,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Maurice_Papon/Maurice_Papon_0001.jpg,False,False,0.7991331964731216,0.7991331816,84.70533084869385,82.75803136825562,1.9472994804382324,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",3.14,1.85,6%,1:22.21,0,0,0,0,176184,0,0.0,68658.0,60010.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,165.987,196.577,201.048,6.933,4.878,5.515,6.346,4.663,5.292,6.929,6.108,13.21,7.161,4.815,46.615,52843.343,1878982,8080,1878982,1878982,1740116,596354,0,0,0.0,12288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1339400,8080,81034.049,0.089,0.13,200.087,305.144,27479.672,27477.93,0.001,53554.375,31648990.0,31648478.0,49956.0,49955.0,31099273.0,31099273.0,31099273.0,31099273.0,0.0,0.0,549717.0,549205.0,0.7991331816,0.7991331816
