,Unnamed: 0,ref_img,other_img,result,expected_result,cos_dist_np,cos_dist_sfe,total_time,sfe_time,extraction_time,Command being timed,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss),Average shared text size (kbytes),Average unshared data size (kbytes),Average stack size (kbytes),Average total size (kbytes),Maximum resident set size (kbytes),Average resident set size (kbytes),Major (requiring I/O) page faults,Minor (reclaiming a frame) page faults,Voluntary context switches,Involuntary context switches,Swaps,File system inputs,File system outputs,Socket messages sent,Socket messages received,Signals delivered,Page size (bytes),Exit status,energy_used,online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe.1
0,0,lfw/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0001.jpg,lfw/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0002.jpg,True,True,0.4069041359525671,0.406904136,132.0207221508026,130.05859804153442,1.9621241092681885,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_64 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",6.4,3.21,7%,2:09.54,0,0,0,0,343788,0,15,138925,90249,759,0,5768,0,0,0,0,4096,0,0,377.853,485.74,466.705,11.891,6.988,6.735,9.135,6.653,8.272,14.18,7.763,20.654,9.427,10.789,63.151,77140.7359999998,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,127406.126,0.107,0.392,508.307,35.323,48718.301,48710.958,0.004,78687.822,62192430,62191406,10532,10532,60591273,60591273,60591273,60591273,0,0,1601157,1600133,0.406904136,0.406904136
1,1,lfw/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0001.jpg,lfw/Kathleen_Kennedy_Townsend/Kathleen_Kennedy_Townsend_0003.jpg,False,False,0.9969990332139343,0.9969990332,130.8447332382202,128.89270162582395,1.95203161239624,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_64 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",6.4,2.95,7%,2:08.45,0,0,0,0,343652,0,0,138937,89930,522,0,0,0,0,0,0,4096,0,0,380.276,488.917,468.582,11.092,7.827,7.34,9.032,6.424,7.266,13.205,7.524,19.197,9.435,6.379,63.093,78964.8190000001,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,126400.279,0.105,0.118,458.762,50.519,45891.173,45885.254,0.002,80509.105,62192430,62191406,10532,10523,60591273,60591273,60591264,60591273,0,0,1601157,1600133,0.9969990332,0.9969990332
2,0,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0002.jpg,True,True,0.4856290024892474,0.4856290025,131.42930221557617,129.49064111709595,1.9386610984802248,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_64 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",6.22,3.03,7%,2:08.89,0,0,0,0,343660,0,0,138936,90742,633,0,0,0,0,0,0,4096,0,0,393.195,485.023,472.47,10.74,7.511,7.042,8.641,6.479,6.436,13.816,7.516,19.045,8.795,6.999,63.469,75590.3329999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,126719.253,0.096,0.086,494.593,135.134,49574.863,49568.159,0.004,77144.387,62192430,62191406,10532,10523,60591273,60591273,60591273,60591273,0,0,1601157,1600133,0.4856290025,0.4856290025
3,1,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0003.jpg,True,True,0.4750053326354595,0.4750053326,124.99684977531432,123.05124974250792,1.9456000328063965,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_64 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",6.64,3.02,7%,2:02.53,0,0,0,0,343656,0,0,138936,90807,594,0,0,0,0,0,0,4096,0,0,415.573,501.736,460.143,10.868,7.257,6.872,8.222,6.659,6.806,13.774,7.939,18.833,9.315,6.724,64.83,72574.4610000004,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,120523.937,0.105,0.11,415.688,31.878,46367.683,46360.935,0.003,74156.252,62192430,62191406,10532,10523,60591273,60591273,60591273,60591273,0,0,1601157,1600133,0.4750053326,0.4750053326
4,2,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0004.jpg,False,True,0.6170364045973071,0.6170364046,115.6432375907898,113.6994001865387,1.9438374042510984,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_64 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",6.24,3.05,8%,1:53.23,0,0,0,0,343476,0,0,138933,89468,644,0,0,0,0,0,0,4096,0,0,381.865,492.115,462.453,10.537,7.369,7.098,8.699,6.674,7.043,13.234,7.886,19.633,9.223,7.391,64.262,64918.5549999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,111175.029,0.117,0.106,418.56,59.835,44710.675,44703.602,0.003,66464.351,62192430,62191406,10532,10532,60591273,60591273,60591273,60591273,0,0,1601157,1600133,0.6170364046,0.6170364046
5,3,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0005.jpg,True,True,0.5916658221598071,0.5916658222,115.49313712120056,113.56239295005798,1.930744171142578,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_64 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",6.38,2.95,8%,1:53.10,0,0,0,0,343788,0,0,138936,90226,506,0,0,0,0,0,0,4096,0,0,385.344,489.833,466.653,10.725,7.428,7.06,8.447,6.598,8.102,14.236,7.602,20.844,9.878,6.997,65.661,67235.5969999996,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,110967.465,0.064,0.076,524.93,70.589,42184.362,42178.58,0.003,68783.101,62192430,62191406,10532,10532,60591273,60591273,60591264,60591273,0,0,1601157,1600133,0.5916658222,0.5916658222
6,4,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Phil_Bennett/Phil_Bennett_0001.jpg,False,False,0.9717043166413276,0.9717043166,125.71926736831664,123.77717185020448,1.9420955181121824,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_64 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",6.24,3.08,7%,2:03.34,0,0,0,0,343428,0,0,138934,90370,730,0,0,0,0,0,0,4096,0,0,378.426,489.097,458.907,11.192,7.439,6.899,8.626,6.563,6.574,13.831,7.654,19.872,9.984,6.662,63.693,70533.4140000002,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,121252.184,0.072,0.068,502.46,34.663,49184.687,49179.751,0.002,72067.495,62192430,62191406,10532,10532,60591273,60591273,60591273,60591273,0,0,1601157,1600133,0.9717043166,0.9717043166
7,5,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Kathy_Baker/Kathy_Baker_0001.jpg,False,False,0.9375658661448713,0.9375658661,122.3340196609497,120.3921525478363,1.9418671131134035,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_64 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",6.42,2.99,7%,1:59.93,0,0,0,0,343424,0,0,138932,89580,672,0,0,0,0,0,0,4096,0,0,372.829,484.612,457.467,10.623,7.297,6.736,8.981,6.492,6.777,13.866,7.508,19.124,9.823,6.474,63.49,72212.5359999997,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,117877.685,0.116,0.127,452.244,37.866,44145.407,44139.792,0.002,73732.276,62192430,62191406,10532,10531,60591273,60591273,60591273,60591273,0,0,1601157,1600133,0.9375658661,0.9375658661
8,6,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Mohammad_Al-Sharief/Mohammad_Al-Sharief_0001.jpg,False,False,0.9709032768496472,0.9709032768,132.01125645637512,130.07865619659424,1.932600259780884,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_64 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",6.24,3.08,7%,2:09.53,0,0,0,0,343428,0,0,138933,89488,1092,0,0,0,0,0,0,4096,0,0,374.376,484.805,462.505,10.604,7.275,6.364,8.392,6.357,7.529,13.379,7.589,19.247,9.193,6.727,64.569,77941.8259999998,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,127503.313,0.092,0.085,422.662,29.241,48040.671,48033.455,0.004,79462.639,62192430,62191406,10532,10532,60591273,60591273,60591264,60591273,0,0,1601157,1600133,0.9709032768,0.9709032768
9,7,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Jelena_Dokic/Jelena_Dokic_0008.jpg,False,False,0.8473599881704015,0.8473599882,132.740704536438,130.80505394935608,1.9356505870819087,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_64 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",6.51,2.94,7%,2:10.30,0,0,0,0,343684,0,0,138935,89578,823,0,0,0,0,0,0,4096,0,0,379.963,496.175,466.86,10.75,7.245,6.298,8.048,6.411,7.022,13.518,7.344,19.19,9.292,6.38,63.884,75010.8140000004,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,128106.67,0.068,0.074,588.922,37.34,51555.628,51548.965,0.003,76551.04,62192430,62191406,10532,10532,60591273,60591273,60591264,60591273,0,0,1601157,1600133,0.8473599882,0.8473599882
