,computed_result,actual_result,model,metric,model_correct
0,True,True,VGG-Face,cosine,True
1,True,True,VGG-Face,euclidean,True
2,True,True,Facenet,cosine,True
3,True,True,Facenet,euclidean,True
4,True,True,Facenet512,cosine,True
5,True,True,Facenet512,euclidean,True
6,True,True,OpenFace,cosine,True
7,True,True,OpenFace,euclidean,True
8,True,True,DeepFace,cosine,True
9,True,True,DeepFace,euclidean,True
10,True,True,ArcFace,cosine,True
11,True,True,ArcFace,euclidean,True
12,True,True,Dlib,cosine,True
13,True,True,Dlib,euclidean,True
14,True,True,SFace,cosine,True
15,True,True,SFace,euclidean,True
16,True,True,VGG-Face,cosine,True
17,True,True,VGG-Face,euclidean,True
18,True,True,Facenet,cosine,True
19,True,True,Facenet,euclidean,True
20,True,True,Facenet512,cosine,True
21,True,True,Facenet512,euclidean,True
22,False,True,OpenFace,cosine,False
23,True,True,OpenFace,euclidean,True
24,True,True,DeepFace,cosine,True
25,True,True,DeepFace,euclidean,True
26,True,True,ArcFace,cosine,True
27,True,True,ArcFace,euclidean,True
28,True,True,Dlib,cosine,True
29,True,True,Dlib,euclidean,True
30,True,True,SFace,cosine,True
31,True,True,SFace,euclidean,True
32,True,True,VGG-Face,cosine,True
33,True,True,VGG-Face,euclidean,True
34,True,True,Facenet,cosine,True
35,False,True,Facenet,euclidean,False
36,False,True,Facenet512,cosine,False
37,False,True,Facenet512,euclidean,False
38,False,True,OpenFace,cosine,False
39,True,True,OpenFace,euclidean,True
40,True,True,DeepFace,cosine,True
41,True,True,DeepFace,euclidean,True
42,True,True,ArcFace,cosine,True
43,False,True,ArcFace,euclidean,False
44,True,True,Dlib,cosine,True
45,True,True,Dlib,euclidean,True
46,True,True,SFace,cosine,True
47,False,True,SFace,euclidean,False
48,False,False,VGG-Face,cosine,True
49,False,False,VGG-Face,euclidean,True
50,False,False,Facenet,cosine,True
51,False,False,Facenet,euclidean,True
52,False,False,Facenet512,cosine,True
53,False,False,Facenet512,euclidean,True
54,False,False,OpenFace,cosine,True
55,False,False,OpenFace,euclidean,True
56,False,False,DeepFace,cosine,True
57,False,False,DeepFace,euclidean,True
58,False,False,ArcFace,cosine,True
59,False,False,ArcFace,euclidean,True
60,False,False,Dlib,cosine,True
61,False,False,Dlib,euclidean,True
62,False,False,SFace,cosine,True
63,False,False,SFace,euclidean,True
64,False,False,VGG-Face,cosine,True
65,False,False,VGG-Face,euclidean,True
66,False,False,Facenet,cosine,True
67,False,False,Facenet,euclidean,True
68,False,False,Facenet512,cosine,True
69,False,False,Facenet512,euclidean,True
70,False,False,OpenFace,cosine,True
71,False,False,OpenFace,euclidean,True
72,False,False,DeepFace,cosine,True
73,False,False,DeepFace,euclidean,True
74,False,False,ArcFace,cosine,True
75,False,False,ArcFace,euclidean,True
76,False,False,Dlib,cosine,True
77,False,False,Dlib,euclidean,True
78,False,False,SFace,cosine,True
79,False,False,SFace,euclidean,True
80,False,False,VGG-Face,cosine,True
81,False,False,VGG-Face,euclidean,True
82,False,False,Facenet,cosine,True
83,False,False,Facenet,euclidean,True
84,False,False,Facenet512,cosine,True
85,False,False,Facenet512,euclidean,True
86,False,False,OpenFace,cosine,True
87,False,False,OpenFace,euclidean,True
88,False,False,DeepFace,cosine,True
89,True,False,DeepFace,euclidean,False
90,False,False,ArcFace,cosine,True
91,False,False,ArcFace,euclidean,True
92,False,False,Dlib,cosine,True
93,False,False,Dlib,euclidean,True
94,False,False,SFace,cosine,True
95,False,False,SFace,euclidean,True
96,True,True,VGG-Face,cosine,True
97,True,True,VGG-Face,euclidean,True
98,True,True,Facenet,cosine,True
99,True,True,Facenet,euclidean,True
100,False,True,Facenet512,cosine,False
101,False,True,Facenet512,euclidean,False
102,False,True,OpenFace,cosine,False
103,False,True,OpenFace,euclidean,False
104,False,True,DeepFace,cosine,False
105,True,True,DeepFace,euclidean,True
106,True,True,ArcFace,cosine,True
107,True,True,ArcFace,euclidean,True
108,True,True,Dlib,cosine,True
109,True,True,Dlib,euclidean,True
110,True,True,SFace,cosine,True
111,True,True,SFace,euclidean,True
112,False,False,VGG-Face,cosine,True
113,False,False,VGG-Face,euclidean,True
114,False,False,Facenet,cosine,True
115,False,False,Facenet,euclidean,True
116,False,False,Facenet512,cosine,True
117,False,False,Facenet512,euclidean,True
118,False,False,OpenFace,cosine,True
119,False,False,OpenFace,euclidean,True
120,False,False,DeepFace,cosine,True
121,False,False,DeepFace,euclidean,True
122,False,False,ArcFace,cosine,True
123,False,False,ArcFace,euclidean,True
124,False,False,Dlib,cosine,True
125,False,False,Dlib,euclidean,True
126,False,False,SFace,cosine,True
127,False,False,SFace,euclidean,True
128,True,True,VGG-Face,cosine,True
129,True,True,VGG-Face,euclidean,True
130,True,True,Facenet,cosine,True
131,True,True,Facenet,euclidean,True
132,True,True,Facenet512,cosine,True
133,True,True,Facenet512,euclidean,True
134,False,True,OpenFace,cosine,False
135,False,True,OpenFace,euclidean,False
136,True,True,DeepFace,cosine,True
137,True,True,DeepFace,euclidean,True
138,True,True,ArcFace,cosine,True
139,True,True,ArcFace,euclidean,True
140,True,True,Dlib,cosine,True
141,True,True,Dlib,euclidean,True
142,True,True,SFace,cosine,True
143,True,True,SFace,euclidean,True
144,False,False,VGG-Face,cosine,True
145,True,False,VGG-Face,euclidean,False
146,False,False,Facenet,cosine,True
147,False,False,Facenet,euclidean,True
148,False,False,Facenet512,cosine,True
149,False,False,Facenet512,euclidean,True
150,False,False,OpenFace,cosine,True
151,False,False,OpenFace,euclidean,True
152,False,False,DeepFace,cosine,True
153,False,False,DeepFace,euclidean,True
154,False,False,ArcFace,cosine,True
155,False,False,ArcFace,euclidean,True
156,False,False,Dlib,cosine,True
157,False,False,Dlib,euclidean,True
158,False,False,SFace,cosine,True
159,False,False,SFace,euclidean,True
160,True,True,VGG-Face,cosine,True
161,True,True,VGG-Face,euclidean,True
162,False,True,Facenet,cosine,False
163,False,True,Facenet,euclidean,False
164,True,True,Facenet512,cosine,True
165,True,True,Facenet512,euclidean,True
166,False,True,OpenFace,cosine,False
167,False,True,OpenFace,euclidean,False
168,False,True,DeepFace,cosine,False
169,True,True,DeepFace,euclidean,True
170,True,True,ArcFace,cosine,True
171,True,True,ArcFace,euclidean,True
172,True,True,Dlib,cosine,True
173,True,True,Dlib,euclidean,True
174,True,True,SFace,cosine,True
175,True,True,SFace,euclidean,True
176,True,True,VGG-Face,cosine,True
177,True,True,VGG-Face,euclidean,True
178,False,True,Facenet,cosine,False
179,True,True,Facenet,euclidean,True
180,False,True,Facenet512,cosine,False
181,True,True,Facenet512,euclidean,True
182,False,True,OpenFace,cosine,False
183,False,True,OpenFace,euclidean,False
184,False,True,DeepFace,cosine,False
185,False,True,DeepFace,euclidean,False
186,True,True,ArcFace,cosine,True
187,True,True,ArcFace,euclidean,True
188,False,True,Dlib,cosine,False
189,True,True,Dlib,euclidean,True
