,computed_result,actual_result,model,metric,time,model_correct
0,True,True,VGG-Face,cosine,3.31,True
1,True,True,VGG-Face,euclidean,0.45,True
2,True,True,Facenet,cosine,4.52,True
3,True,True,Facenet,euclidean,0.24,True
4,True,True,Facenet512,cosine,5.11,True
5,True,True,Facenet512,euclidean,0.29,True
6,True,True,OpenFace,cosine,2.47,True
7,True,True,OpenFace,euclidean,0.18,True
8,True,True,DeepFace,cosine,48.22,True
9,True,True,DeepFace,euclidean,0.35,True
10,True,True,ArcFace,cosine,2.42,True
11,True,True,ArcFace,euclidean,0.23,True
12,True,True,Dlib,cosine,0.2,True
13,True,True,Dlib,euclidean,0.15,True
14,True,True,SFace,cosine,0.23,True
15,True,True,SFace,euclidean,0.07,True
16,True,True,VGG-Face,cosine,0.46,True
17,True,True,VGG-Face,euclidean,0.44,True
18,True,True,Facenet,cosine,0.17,True
19,True,True,Facenet,euclidean,0.17,True
20,True,True,Facenet512,cosine,0.18,True
21,True,True,Facenet512,euclidean,0.18,True
22,False,True,OpenFace,cosine,0.13,False
23,True,True,OpenFace,euclidean,0.13,True
24,True,True,DeepFace,cosine,0.21,True
25,True,True,DeepFace,euclidean,0.21,True
26,True,True,ArcFace,cosine,0.23,True
27,True,True,ArcFace,euclidean,0.24,True
28,True,True,Dlib,cosine,0.11,True
29,True,True,Dlib,euclidean,0.13,True
30,True,True,SFace,cosine,0.09,True
31,True,True,SFace,euclidean,0.07,True
32,True,True,VGG-Face,cosine,0.44,True
33,True,True,VGG-Face,euclidean,0.49,True
34,True,True,Facenet,cosine,0.17,True
35,False,True,Facenet,euclidean,0.18,False
36,False,True,Facenet512,cosine,0.18,False
37,False,True,Facenet512,euclidean,0.17,False
38,False,True,OpenFace,cosine,0.14,False
39,True,True,OpenFace,euclidean,0.14,True
40,True,True,DeepFace,cosine,0.21,True
41,True,True,DeepFace,euclidean,0.2,True
42,True,True,ArcFace,cosine,0.25,True
43,False,True,ArcFace,euclidean,0.25,False
44,True,True,Dlib,cosine,0.15,True
45,True,True,Dlib,euclidean,0.18,True
46,True,True,SFace,cosine,0.11,True
47,False,True,SFace,euclidean,0.08,False
48,False,False,VGG-Face,cosine,0.51,True
49,False,False,VGG-Face,euclidean,0.49,True
50,False,False,Facenet,cosine,0.18,True
51,False,False,Facenet,euclidean,0.19,True
52,False,False,Facenet512,cosine,0.18,True
53,False,False,Facenet512,euclidean,0.19,True
54,False,False,OpenFace,cosine,0.14,True
55,False,False,OpenFace,euclidean,0.14,True
56,False,False,DeepFace,cosine,0.23,True
57,True,False,DeepFace,euclidean,0.21,False
58,False,False,ArcFace,cosine,0.23,True
