,ref_img,other_img,result,expected_result,cos_dist_np,cos_dist_sfe,total_time,sfe_time,extraction_time,ram_used,energy_used,online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe
0,lfw/Fujio_Cho/Fujio_Cho_0001.jpg,lfw/Fujio_Cho/Fujio_Cho_0002.jpg,True,True,0.4188403606560622,0.4188403607,199.47495532035828,183.25709104537964,16.217864274978638,0,0,2052.5860000000,2381.4140000000,1780.8010000000,32.9760000000,25.4950000000,7.5600000000,22.7410000000,21.3260000000,7.3140000000,26.9110000000,21.2960000000,30.8020000000,24.1620000000,22.6290000000,170.7760000000,50718.8210000001,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,167281.5120000000,0.3270000000,0.3110000000,26.4210000000,813.5180000000,109845.4990000000,109781.6640000000,0.0080000000,57436.0010000000,86428471,86427438,29211,29220,84827314,84827305,84827305,84827305,0,0,1601157,1600133,0.4188403607,0.4188403607
1,lfw/Fujio_Cho/Fujio_Cho_0001.jpg,lfw/Fujio_Cho/Fujio_Cho_0003.jpg,True,True,0.39030913119777977,0.3903091312,187.48681092262268,170.80989718437195,16.676913738250732,0,0,2047.9310000000,2380.3770000000,1782.1750000000,32.9080000000,24.9380000000,7.7750000000,22.1320000000,21.6330000000,7.1490000000,27.3080000000,21.1520000000,26.6400000000,24.6950000000,20.7290000000,156.2740000000,46100.6380000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,154663.4460000000,0.3530000000,0.3240000000,20.4840000000,873.5640000000,101866.3290000000,101803.3700000000,0.0080000000,52797.1070000000,86428462,86427438,29220,29220,84827305,84827305,84827297,84827305,0,0,1601157,1600133,0.3903091312,0.3903091312
2,lfw/Fujio_Cho/Fujio_Cho_0001.jpg,lfw/Fujio_Cho/Fujio_Cho_0004.jpg,True,True,0.3224178278344806,0.3224178278,187.52016305923462,170.70207715034485,16.81808590888977,0,0,2033.9240000000,2374.4640000000,1769.4880000000,30.3590000000,25.6010000000,7.3230000000,22.7750000000,21.4170000000,7.0610000000,28.5590000000,20.1340000000,29.7230000000,24.0800000000,21.6080000000,164.6410000000,45849.5370000003,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,154630.8000000000,0.3240000000,0.3200000000,26.1410000000,868.6670000000,102108.3490000000,102043.8330000000,0.0090000000,52522.4400000000,86428471,86427438,29211,29220,84827314,84827305,84827305,84827305,0,0,1601157,1600133,0.3224178278,0.3224178278
3,lfw/Fujio_Cho/Fujio_Cho_0001.jpg,lfw/Fujio_Cho/Fujio_Cho_0005.jpg,True,True,0.3154655902718224,0.3154655903,191.2643437385559,174.53346300125122,16.730880737304688,0,0,2047.3150000000,2380.2710000000,1789.8250000000,30.0160000000,25.3530000000,7.3620000000,23.4860000000,21.4130000000,8.1220000000,28.4230000000,21.0810000000,29.6840000000,22.4400000000,23.0610000000,162.6320000000,43974.1109999997,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,158467.1000000000,0.3100000000,0.3130000000,25.8480000000,864.0330000000,107788.6130000000,107724.8950000000,0.0070000000,50678.4770000000,86428471,86427438,29211,29220,84827314,84827305,84827305,84827305,0,0,1601157,1600133,0.3154655903,0.3154655903
4,lfw/Fujio_Cho/Fujio_Cho_0001.jpg,lfw/Fujio_Cho/Fujio_Cho_0006.jpg,True,True,0.3943956380310143,0.394395638,185.19880628585815,168.40971398353577,16.789092302322388,0,0,2054.2500000000,2408.6700000000,1798.1500000000,32.8310000000,25.2300000000,7.7320000000,25.7810000000,21.2520000000,8.7820000000,30.8790000000,22.4850000000,29.9760000000,23.9010000000,22.7970000000,172.7830000000,44648.7879999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,152265.0940000000,0.3460000000,0.3310000000,22.7490000000,860.1690000000,100846.1220000000,100781.1170000000,0.0080000000,51418.9600000000,86428462,86427438,29220,29220,84827305,84827305,84827305,84827305,0,0,1601157,1600133,0.3943956380,0.3943956380
5,lfw/Fujio_Cho/Fujio_Cho_0001.jpg,lfw/Ricardo_Sanchez/Ricardo_Sanchez_0001.jpg,False,False,0.8298397029373645,0.8298397029,182.01051902770996,165.32593488693237,16.684584140777588,0,0,2038.8640000000,2398.9060000000,1778.4670000000,32.6690000000,25.1550000000,6.6690000000,25.5130000000,22.2730000000,8.0110000000,29.6570000000,24.6900000000,28.4020000000,25.5130000000,21.8640000000,163.3640000000,43288.3029999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,149220.9310000000,0.3300000000,0.6290000000,21.2910000000,868.3770000000,99213.9070000000,99150.6200000000,0.0080000000,50007.0140000000,86428462,86427438,29220,29220,84827305,84827305,84827297,84827305,0,0,1601157,1600133,0.8298397029,0.8298397029
6,lfw/Fujio_Cho/Fujio_Cho_0001.jpg,lfw/Anders_Ebbeson/Anders_Ebbeson_0003.jpg,False,False,0.8249412290232209,0.824941229,182.12851214408875,165.390860080719,16.73765206336975,0,0,2059.5230000000,2391.1150000000,1795.1090000000,30.5510000000,25.5190000000,7.2610000000,22.9020000000,21.7840000000,7.5840000000,27.3850000000,20.6490000000,30.9250000000,24.2710000000,22.2000000000,158.9110000000,44088.5830000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,149333.2200000000,0.4450000000,0.3240000000,126.5550000000,850.7930000000,98506.5070000000,98438.9310000000,0.0080000000,50826.7010000000,86428471,86427438,29211,29220,84827314,84827305,84827305,84827305,0,0,1601157,1600133,0.8249412290,0.8249412290
7,lfw/Fujio_Cho/Fujio_Cho_0001.jpg,lfw/Paula_Zahn/Paula_Zahn_0002.jpg,False,False,0.8505020234879164,0.8505020235,184.2617530822754,167.36900877952576,16.892744302749634,0,0,2088.3450000000,2409.9540000000,1798.6600000000,32.3400000000,26.0580000000,8.1950000000,25.3630000000,21.6090000000,7.5870000000,27.5000000000,21.2480000000,31.7940000000,23.0340000000,24.4720000000,170.4590000000,43892.3870000001,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,151281.2550000000,0.3310000000,0.3140000000,23.9580000000,873.9410000000,100579.4920000000,100515.3680000000,0.0080000000,50701.7520000000,86428462,86427438,29220,29220,84827305,84827305,84827305,84827305,0,0,1601157,1600133,0.8505020235,0.8505020235
8,lfw/Fujio_Cho/Fujio_Cho_0001.jpg,lfw/Mario_Vasquez_Rana/Mario_Vasquez_Rana_0001.jpg,False,False,0.9476508921025765,0.9476508921,182.8055911064148,166.00265455245972,16.802936553955078,0,0,2061.5850000000,2390.8320000000,1778.3610000000,33.4180000000,25.3270000000,7.8290000000,26.3180000000,24.7950000000,8.0700000000,29.0330000000,21.2620000000,27.2040000000,22.6110000000,20.1050000000,154.1780000000,43559.1480000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,149911.4090000000,0.3390000000,0.3730000000,30.1290000000,876.9320000000,99629.7070000000,99564.0490000000,0.0090000000,50281.6910000000,86428462,86427438,29220,29220,84827305,84827305,84827296,84827305,0,0,1601157,1600133,0.9476508921,0.9476508921
9,lfw/Fujio_Cho/Fujio_Cho_0001.jpg,lfw/Jayne_Yarris/Jayne_Yarris_0001.jpg,False,False,0.8434032141810179,0.8434032142,186.18330025672913,169.42167568206787,16.761624574661255,0,0,2045.3440000000,2405.4330000000,1777.5200000000,31.8380000000,25.9140000000,7.1380000000,23.6440000000,21.5400000000,8.4140000000,27.2150000000,20.0260000000,29.4730000000,22.2350000000,22.0260000000,156.2570000000,45599.1689999998,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,153300.9840000000,0.3330000000,0.3160000000,19.7140000000,863.9610000000,100986.9650000000,100915.3050000000,0.0080000000,52314.0090000000,86428471,86427438,29211,29220,84827314,84827305,84827305,84827305,0,0,1601157,1600133,0.8434032142,0.8434032142
