,ref_img,other_img,result,expected_result,cos_dist_np,cos_dist_sfe,total_time,sfe_time,extraction_time,Command being timed,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss),Average shared text size (kbytes),Average unshared data size (kbytes),Average stack size (kbytes),Average total size (kbytes),Maximum resident set size (kbytes),Average resident set size (kbytes),Major (requiring I/O) page faults,Minor (reclaiming a frame) page faults,Voluntary context switches,Involuntary context switches,Swaps,File system inputs,File system outputs,Socket messages sent,Socket messages received,Signals delivered,Page size (bytes),Exit status,energy_client,energy_server,online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe
0,lfw/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0001.jpg,lfw/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0002.jpg,True,True,0.4069041609764099,0.4069042206,96.82115817070007,59.56036686897278,37.260791301727295,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",34.39,9.73,75%,0:58.83,0,0,0,0,146324,0,5,61843,71051,46865,0,1512,0,0,0,0,4096,0,not measured,not measured,850.0690000000,922.8090000000,741.5090000000,18.2540000000,15.9150000000,6.6840000000,15.4040000000,13.6970000000,6.3020000000,14.8120000000,12.4730000000,19.3870000000,14.1270000000,11.9980000000,94.7370000000,30860.4130000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,43197.9040000000,0.7040000000,0.5080000000,27.0740000000,4507.5540000000,9515.0050000000,9473.2390000000,0.0120000000,33682.8890000000,31648990,31648478,49956,49956,31099273,31099273,31099273,31099273,0,0,549717,549205,0.4069042206,0.4069042206
1,lfw/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0001.jpg,lfw/Sandra_Banning/Sandra_Banning_0001.jpg,False,False,0.8859251663088799,0.8859251738,101.81693935394287,60.19732999801636,41.619609355926514,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",34.49,9.30,73%,0:59.44,0,0,0,0,148428,0,25,62352,72262,46754,0,4208,0,0,0,0,4096,0,not measured,not measured,851.7930000000,913.0990000000,735.5770000000,17.0610000000,14.7100000000,8.7530000000,15.5800000000,13.8100000000,4.8180000000,15.1070000000,16.4800000000,16.3720000000,16.2660000000,13.5160000000,98.2940000000,30889.7459999999,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,43639.1690000000,0.6770000000,0.5630000000,74.3080000000,4547.6900000000,9931.5760000000,9889.3100000000,0.0130000000,33707.5800000000,31648999,31648478,49947,49956,31099282,31099273,31099273,31099273,0,0,549717,549205,0.8859251738,0.8859251738
0,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0002.jpg,True,True,0.48562902212142944,0.4856289625,100.15614700317383,59.72008776664734,40.43605923652649,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",34.77,9.56,75%,0:59.04,0,0,0,0,150420,0,3,62877,72040,44878,0,576,0,0,0,0,4096,0,not measured,not measured,847.7410000000,919.7180000000,745.7950000000,15.7500000000,14.3240000000,7.9770000000,14.3060000000,13.4160000000,4.4130000000,15.5970000000,15.4370000000,16.2250000000,16.1900000000,15.1020000000,103.8890000000,30671.7279999999,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,43284.7900000000,0.8340000000,0.5530000000,18.8330000000,4529.5760000000,9784.5660000000,9742.7630000000,0.0120000000,33500.2140000000,31648990,31648478,49956,49956,31099273,31099273,31099273,31099273,0,0,549717,549205,0.4856289625,0.4856289625
1,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0003.jpg,True,True,0.4750053286552429,0.4750052691,100.15546655654907,61.20375943183899,38.95170712471008,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",34.66,8.90,71%,1:00.54,0,0,0,0,154460,0,3,63897,70964,45964,0,856,0,0,0,0,4096,0,not measured,not measured,853.0440000000,925.5180000000,751.6370000000,15.6660000000,15.3610000000,8.6870000000,15.7460000000,12.7750000000,6.6390000000,14.3820000000,16.1760000000,16.4910000000,16.1620000000,14.4420000000,92.8640000000,30842.7950000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,44768.0350000000,0.9110000000,0.5620000000,122.3500000000,4538.4620000000,11090.9700000000,11049.0300000000,0.0120000000,33677.0540000000,31648990,31648478,49956,49956,31099273,31099273,31099273,31099273,0,0,549717,549205,0.4750052691,0.4750052691
2,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0004.jpg,False,True,0.6170364320278168,0.6170363426,98.62537956237793,60.72747278213501,37.89790678024292,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",34.56,9.62,73%,1:00.01,0,0,0,0,152444,0,22,63377,71677,45649,0,3472,0,0,0,0,4096,0,not measured,not measured,836.7350000000,916.8270000000,733.9930000000,16.7950000000,14.3650000000,4.8990000000,14.6550000000,12.1430000000,4.7810000000,13.8370000000,16.1250000000,13.5900000000,14.4250000000,13.5090000000,95.1190000000,31018.6150000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,44172.8410000000,0.7580000000,0.6000000000,22.8680000000,4512.9510000000,10375.7010000000,10333.7090000000,0.0130000000,33797.1290000000,31648990,31648478,49956,49956,31099273,31099273,31099273,31099273,0,0,549717,549205,0.6170363426,0.6170363426
3,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0005.jpg,True,True,0.5916658043861389,0.5916658044,101.14825415611267,60.27047801017761,40.87777614593506,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",34.49,9.75,74%,0:59.47,0,0,0,0,150444,0,11,62876,72391,46015,0,1312,0,0,0,0,4096,0,not measured,not measured,845.0300000000,920.2690000000,735.3890000000,16.8170000000,14.4490000000,5.8740000000,14.1320000000,12.1470000000,5.0810000000,13.3150000000,13.8540000000,15.2520000000,13.6140000000,14.2860000000,92.7210000000,30880.5330000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,43740.2330000000,0.7080000000,0.5090000000,27.2650000000,4479.1180000000,10065.6050000000,10023.9150000000,0.0120000000,33674.6180000000,31648990,31648478,49956,49956,31099273,31099273,31099273,31099273,0,0,549717,549205,0.5916658044,0.5916658044
4,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Michael_Sheehan/Michael_Sheehan_0001.jpg,False,False,0.8264807462692261,0.8264807463,99.43112063407898,60.83804368972778,38.593076944351196,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",34.67,9.52,73%,1:00.15,0,0,0,0,146200,0,3,61848,71908,48101,0,856,0,0,0,0,4096,0,not measured,not measured,838.3990000000,921.7480000000,753.3640000000,16.1150000000,13.0750000000,6.8020000000,12.9470000000,12.1110000000,4.9730000000,14.3910000000,15.2210000000,16.8610000000,15.4910000000,14.2510000000,93.3540000000,32169.7909999998,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,44441.1110000000,0.8250000000,0.5730000000,29.8700000000,4456.9230000000,9458.0020000000,9416.0320000000,0.0130000000,34983.0970000000,31648990,31648478,49956,49956,31099273,31099273,31099273,31099273,0,0,549717,549205,0.8264807463,0.8264807463
5,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Eric_Robert_Rudolph/Eric_Robert_Rudolph_0001.jpg,False,False,0.8486536592245102,0.8486536145,97.67649960517883,60.01002788543701,37.66647171974182,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",34.48,9.64,74%,0:59.31,0,0,0,0,148288,0,3,62360,72673,48064,0,1128,0,0,0,0,4096,0,not measured,not measured,851.9340000000,914.6630000000,739.9210000000,16.1670000000,15.1600000000,5.4400000000,13.3110000000,12.0730000000,4.0020000000,14.5300000000,15.6690000000,16.9500000000,14.0410000000,13.8970000000,106.9160000000,30988.5640000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,43608.4760000000,0.6630000000,0.6160000000,26.3300000000,4497.0370000000,9797.8080000000,9755.7290000000,0.0120000000,33810.6570000000,31648990,31648478,49956,49956,31099273,31099273,31099264,31099273,0,0,549717,549205,0.8486536145,0.8486536145
6,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Mohamed_Hammam/Mohamed_Hammam_0001.jpg,False,False,0.925228551030159,0.9252285957,96.7754442691803,60.93663191795349,35.83881235122681,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",34.83,9.48,73%,1:00.10,0,0,0,0,152396,0,13,63379,72280,46117,0,2336,0,0,0,0,4096,0,not measured,not measured,852.4150000000,918.3730000000,754.4580000000,16.8740000000,14.0290000000,6.3950000000,14.4970000000,11.8170000000,4.6690000000,14.7270000000,15.2640000000,18.5920000000,15.8220000000,13.3800000000,90.4940000000,30899.6160000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,44275.8220000000,0.7650000000,0.6100000000,25.2360000000,4525.2180000000,10548.0630000000,10506.1190000000,0.0130000000,33727.7460000000,31648999,31648478,49947,49956,31099282,31099273,31099273,31099273,0,0,549717,549205,0.9252285957,0.9252285957
7,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/AnFernce_Negron/AnFernce_Negron_0001.jpg,False,False,1.0722606554627419,1.0722606182,98.27179050445557,60.4101984500885,37.861592054367065,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",34.39,9.59,73%,0:59.74,0,0,0,0,152312,0,12,63383,72318,46141,0,1712,0,0,0,0,4096,0,not measured,not measured,846.3470000000,920.0780000000,753.3060000000,16.9230000000,13.1290000000,6.4250000000,12.8490000000,11.9310000000,4.4630000000,14.5310000000,15.0640000000,18.0490000000,15.5010000000,12.4420000000,87.0710000000,30725.8960000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,44017.1280000000,0.6030000000,3.2490000000,132.2090000000,4545.9160000000,10477.5410000000,10435.8620000000,0.0120000000,33539.5750000000,31648990,31648478,49956,49956,31099273,31099273,31099273,31099273,0,0,549717,549205,1.0722606182,1.0722606182
