,ref_img,other_img,result,expected_result,cos_dist_np,cos_dist_sfe,total_time,sfe_time,extraction_time,Command being timed,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss),Average shared text size (kbytes),Average unshared data size (kbytes),Average stack size (kbytes),Average total size (kbytes),Maximum resident set size (kbytes),Average resident set size (kbytes),Major (requiring I/O) page faults,Minor (reclaiming a frame) page faults,Voluntary context switches,Involuntary context switches,Swaps,File system inputs,File system outputs,Socket messages sent,Socket messages received,Signals delivered,Page size (bytes),Exit status,energy_used,online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe
0,lfw/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0001.jpg,lfw/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0002.jpg,True,True,0.4069041609764099,0.4069042802,79.25438809394836,77.34587335586548,1.9085147380828857,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",2.97,1.80,6%,1:16.91,0,0,0,0,168788,0,0,66948,59145,333,0,0,0,0,0,0,4096,0,0,161.4640000000,190.7600000000,191.4650000000,7.0050000000,5.0840000000,5.2800000000,5.7940000000,4.3310000000,4.9650000000,7.1380000000,5.9370000000,12.8840000000,7.2620000000,4.5740000000,45.2870000000,52236.3130000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,75860.5560000000,0.1170000000,0.1290000000,211.5420000000,161.1750000000,22944.3180000000,22942.7360000000,0.0020000000,52916.2370000000,27761630,27761118,29220,29211,27211913,27211913,27211913,27211913,0,0,549717,549205,0.4069042802,0.4069042802
1,lfw/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0001.jpg,lfw/Florencia_Kirchner/Florencia_Kirchner_0001.jpg,False,False,0.9555283263325691,0.9555283189,79.19603371620178,77.28027606010437,1.915757656097412,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",2.84,1.85,6%,1:16.78,0,0,0,0,168924,0,0,66946,58927,248,0,0,0,0,0,0,4096,0,0,161.8060000000,190.2530000000,188.9870000000,6.6250000000,4.7610000000,5.1840000000,5.7220000000,4.4850000000,4.5740000000,7.7800000000,5.8320000000,12.8340000000,6.4470000000,4.7020000000,45.4230000000,51935.2080000002,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,75920.2580000000,0.1020000000,0.1280000000,61.8360000000,125.7590000000,23303.4530000000,23301.8930000000,0.0020000000,52616.8040000000,27761630,27761118,29220,29220,27211913,27211913,27211913,27211913,0,0,549717,549205,0.9555283189,0.9555283189
0,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0002.jpg,True,True,0.48562902212142944,0.4856290817,77.82746458053589,75.90367102622986,1.9237935543060303,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",2.87,1.74,6%,1:15.44,0,0,0,0,168840,0,0,66945,58871,314,0,0,0,0,0,0,4096,0,0,165.3600000000,191.8240000000,190.2310000000,7.1600000000,4.7940000000,6.4710000000,5.7810000000,4.6130000000,4.9190000000,7.4340000000,5.7140000000,13.0640000000,6.4750000000,4.6120000000,45.5190000000,51492.3899999999,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,74459.8770000000,0.0990000000,0.1220000000,197.7170000000,128.7900000000,22282.8760000000,22281.2830000000,0.0010000000,52177.0000000000,27761630,27761118,29220,29220,27211913,27211913,27211913,27211913,0,0,549717,549205,0.4856290817,0.4856290817
1,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0003.jpg,True,True,0.4750053882598877,0.4750053287,76.52848792076111,74.61533880233765,1.913149118423462,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",2.85,1.84,6%,1:14.18,0,0,0,0,168848,0,0,66941,59112,399,0,0,0,0,0,0,4096,0,0,161.9420000000,192.6830000000,194.3780000000,7.1720000000,6.1040000000,5.5990000000,6.7530000000,4.4690000000,5.0500000000,7.4140000000,5.5110000000,14.0990000000,6.6370000000,4.7190000000,47.4000000000,49438.8950000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,73118.5060000000,0.1010000000,0.1280000000,172.3740000000,234.8370000000,22988.1580000000,22986.6200000000,0.0010000000,50130.3460000000,27761630,27761118,29220,29219,27211913,27211913,27211913,27211913,0,0,549717,549205,0.4750053287,0.4750053287
2,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0004.jpg,False,True,0.6170364916324615,0.6170364618,77.49301409721375,75.56956672668457,1.9234473705291748,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",2.89,1.83,6%,1:15.17,0,0,0,0,168844,0,0,66945,59153,280,0,0,0,0,0,0,4096,0,0,162.4450000000,192.0980000000,193.7290000000,6.9440000000,5.2610000000,5.6220000000,5.7990000000,4.4040000000,5.2990000000,7.0340000000,5.7260000000,12.9400000000,6.6870000000,4.5700000000,45.8980000000,50677.4650000001,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,74138.2880000000,0.1000000000,0.1220000000,228.0070000000,125.5840000000,22769.7000000000,22768.0980000000,0.0010000000,51368.5860000000,27761630,27761118,29220,29220,27211913,27211913,27211913,27211913,0,0,549717,549205,0.6170364618,0.6170364618
3,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0005.jpg,True,True,0.5916659235954285,0.5916659832,79.36309671401978,77.45076942443848,1.9123272895812988,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",3.01,1.69,6%,1:17.07,0,0,0,0,168736,0,0,66943,59276,348,0,0,0,0,0,0,4096,0,0,163.4770000000,193.1270000000,193.2730000000,6.9450000000,4.9020000000,5.3680000000,5.6190000000,4.5650000000,4.7590000000,7.3620000000,5.7240000000,12.9070000000,7.2520000000,4.6000000000,45.4200000000,51862.8269999999,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,75976.8440000000,0.1100000000,0.1210000000,249.9950000000,179.7610000000,23427.6740000000,23425.5420000000,0.0010000000,52549.1670000000,27761630,27761118,29220,29220,27211913,27211913,27211904,27211913,0,0,549717,549205,0.5916659832,0.5916659832
4,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/John_Stallworth/John_Stallworth_0001.jpg,False,False,0.8247745186090469,0.8247745633,79.0130090713501,77.10146164894104,1.9115474224090576,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",3.04,1.69,6%,1:16.61,0,0,0,0,168628,0,0,66942,59463,272,0,0,0,0,0,0,4096,0,0,160.7090000000,189.2050000000,188.2130000000,6.5620000000,4.7540000000,5.7820000000,6.1830000000,4.2910000000,4.6970000000,6.8320000000,5.5580000000,11.8250000000,6.3840000000,4.5540000000,46.4800000000,50838.8940000002,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,75566.3190000000,0.1070000000,0.1220000000,199.8340000000,173.6930000000,24054.9060000000,24052.7710000000,0.0020000000,51511.4110000000,27761630,27761118,29220,29211,27211913,27211913,27211904,27211913,0,0,549717,549205,0.8247745633,0.8247745633
5,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Vadim_Strogalev/Vadim_Strogalev_0001.jpg,False,False,0.7824307829141617,0.782430768,78.46735835075378,76.5374402999878,1.9299180507659912,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",2.93,1.70,6%,1:16.04,0,0,0,0,168800,0,0,66944,59349,410,0,0,0,0,0,0,4096,0,0,159.0900000000,188.0440000000,188.5860000000,6.8700000000,4.7020000000,5.5970000000,5.8420000000,4.3160000000,4.9810000000,7.1070000000,5.7110000000,12.7290000000,6.8060000000,4.4210000000,45.2160000000,51308.9869999999,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,75078.3340000000,0.1010000000,0.1300000000,88.7430000000,179.9150000000,23094.2870000000,23091.4640000000,0.0020000000,51984.0450000000,27761630,27761118,29220,29220,27211913,27211913,27211904,27211913,0,0,549717,549205,0.7824307680,0.7824307680
6,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Paul_Coppin/Paul_Coppin_0001.jpg,False,False,0.9020302891731262,0.9020302892,77.71798157691956,75.79511857032776,1.9228630065917969,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",2.97,1.70,6%,1:15.31,0,0,0,0,168788,0,1,66947,59468,404,0,0,0,0,0,0,4096,0,0,162.2490000000,192.4750000000,193.0440000000,6.5670000000,4.8880000000,5.1860000000,6.0830000000,4.5080000000,4.8260000000,7.1750000000,5.6690000000,13.2600000000,6.9900000000,4.7080000000,46.2880000000,50163.1510000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,74168.2320000000,0.1000000000,0.1350000000,307.7730000000,168.1660000000,23320.6200000000,23318.6390000000,0.0010000000,50847.6100000000,27761630,27761118,29220,29220,27211913,27211913,27211913,27211913,0,0,549717,549205,0.9020302892,0.9020302892
7,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Chen_Tsai-chin/Chen_Tsai-chin_0001.jpg,False,False,1.0439372472465038,1.0439372063,80.5799617767334,78.64835596084595,1.9316058158874512,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",2.97,1.80,6%,1:18.21,0,0,0,0,168892,0,0,66941,59314,286,0,0,0,0,0,0,4096,0,0,163.0100000000,190.6840000000,192.0750000000,7.0950000000,4.7730000000,5.6530000000,6.4760000000,4.4170000000,4.9690000000,7.4010000000,5.7090000000,12.7480000000,6.7460000000,4.7420000000,47.5360000000,52444.8470000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,76989.0340000000,0.1110000000,0.1170000000,330.3290000000,239.6200000000,23847.2790000000,23844.4790000000,0.0010000000,53141.7530000000,27761630,27761118,29220,29220,27211913,27211913,27211904,27211913,0,0,549717,549205,1.0439372063,1.0439372063
