,ref_img,other_img,result,expected_result,cos_dist_np,cos_dist_sfe,total_time,sfe_time,extraction_time,ram_used,energy_used,online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe
0,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0002.jpg,True,True,0.2064672729369681,0.2064672729,93.71387696266174,49.110312938690186,44.60356402397156,0,0,1869.0540000000,2205.1640000000,1525.3260000000,27.5280000000,23.1380000000,10.0140000000,22.4850000000,19.3560000000,7.9210000000,21.6730000000,23.8390000000,25.8790000000,20.1060000000,21.8520000000,131.9470000000,14122.5090000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,33441.6940000000,0.6080000000,0.6820000000,16.0640000000,1897.5430000000,13278.8650000000,13216.2470000000,0.0080000000,20162.8190000000,98546505,98545472,49947,49956,96945348,96945339,96945339,96945339,0,0,1601157,1600133,0.2064672729,0.2064672729
1,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0003.jpg,True,True,0.41308655913370573,0.4130865591,64.49169397354126,49.602301836013794,14.889392137527466,0,0,1873.4530000000,2197.0130000000,1531.2850000000,27.6580000000,21.2860000000,9.7350000000,24.7630000000,18.5780000000,6.4330000000,22.1980000000,23.0160000000,25.2660000000,23.6640000000,22.8780000000,138.9510000000,14082.9180000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,33893.4720000000,0.3600000000,0.3290000000,21.7650000000,1976.2070000000,13765.1270000000,13702.8350000000,0.0070000000,20128.3360000000,98546496,98545472,49956,49956,96945339,96955428,96945339,96945339,0,0,1601157,1590044,0.4130865591,0.4130865591
2,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0004.jpg,True,True,0.483093951538731,0.4830939515,65.50001358985901,50.112839221954346,15.387174367904663,0,0,1883.9040000000,2213.1930000000,1526.6930000000,24.3570000000,21.4530000000,9.0880000000,25.9290000000,19.2420000000,7.5430000000,21.9400000000,25.2570000000,23.9010000000,21.3490000000,24.3450000000,134.3080000000,14118.6590000001,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,33937.0150000000,0.3350000000,0.3450000000,15.0630000000,2032.0400000000,13749.3360000000,13680.6280000000,0.0080000000,20187.6690000000,98546505,98545472,49947,49956,96945348,96955428,96945339,96945339,0,0,1601157,1590044,0.4830939515,0.4830939515
3,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Calvin_Harrison/Calvin_Harrison_0001.jpg,False,False,1.048721915728408,1.0487219157,66.14582347869873,50.39005756378174,15.755765914916992,0,0,1875.8220000000,2199.1150000000,1528.2210000000,28.6040000000,22.8720000000,8.4010000000,22.4880000000,18.7750000000,6.5480000000,22.0270000000,24.3960000000,24.0450000000,19.9090000000,23.6530000000,131.6390000000,14142.3380000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,33766.0870000000,0.3160000000,0.3150000000,14.5820000000,2053.4100000000,13590.6030000000,13525.2720000000,0.0080000000,20175.4740000000,98546505,98545472,49947,49956,96945348,96945339,96945321,96945339,0,0,1601157,1600133,1.0487219157,1.0487219157
4,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/David_Glenn/David_Glenn_0001.jpg,False,False,1.0178603740155012,1.017860374,66.7288498878479,50.63832139968872,16.09052848815918,0,0,1883.1490000000,2206.7740000000,1513.2250000000,25.0790000000,20.6090000000,10.4030000000,27.2770000000,19.6980000000,6.9740000000,21.9320000000,22.6960000000,19.4870000000,23.5180000000,24.7990000000,146.8260000000,14104.4400000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,33849.2590000000,0.3260000000,0.3090000000,15.4230000000,2060.6040000000,13695.7070000000,13634.2950000000,0.0070000000,20153.5430000000,98546505,98545472,49947,49956,96945348,96955428,96945339,96945339,0,0,1601157,1590044,1.0178603740,1.0178603740
5,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Jennette_Bradley/Jennette_Bradley_0001.jpg,False,False,0.9444471581985842,0.9444471582,67.06101894378662,50.652180433273315,16.408838510513306,0,0,1869.1270000000,2196.5370000000,1535.0340000000,23.1750000000,21.2180000000,8.9650000000,21.1380000000,18.8200000000,6.5450000000,22.3420000000,23.5670000000,25.4570000000,22.0840000000,24.2250000000,136.7090000000,14107.3250000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,33770.9040000000,0.3810000000,0.3200000000,22.0290000000,2098.0510000000,13625.0820000000,13560.0010000000,0.0070000000,20145.8130000000,98546505,98545472,49947,49956,96945348,96945339,96945339,96945339,0,0,1601157,1600133,0.9444471582,0.9444471582
0,lfw/Aaron_Sorkin/Aaron_Sorkin_0001.jpg,lfw/Aaron_Sorkin/Aaron_Sorkin_0002.jpg,True,True,0.393394703513807,0.3933947035,67.45881175994873,50.919304847717285,16.539506912231445,0,0,1870.3770000000,2205.1810000000,1525.0240000000,26.9120000000,21.9340000000,9.7680000000,25.8840000000,20.1540000000,7.2310000000,24.4530000000,24.3760000000,22.5250000000,23.4110000000,23.5770000000,138.6790000000,14186.0670000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,33880.8750000000,0.4190000000,0.3230000000,21.9300000000,2086.0680000000,13645.8320000000,13576.1530000000,0.0080000000,20235.0320000000,98546505,98545472,49947,49956,96945348,96955428,96945339,96945339,0,0,1601157,1590044,0.3933947035,0.3933947035
1,lfw/Aaron_Sorkin/Aaron_Sorkin_0001.jpg,lfw/Charles_Moose/Charles_Moose_0003.jpg,False,False,0.7375167535356715,0.7375167535,67.68601107597351,51.07038712501526,16.615623950958252,0,0,1883.1570000000,2201.3550000000,1529.4420000000,24.7240000000,22.3140000000,8.8710000000,23.0640000000,21.3100000000,6.4910000000,21.0960000000,23.4640000000,21.6330000000,21.2850000000,23.4630000000,135.1120000000,14154.4550000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,33817.6880000000,0.3430000000,0.3070000000,24.0650000000,2104.1840000000,13617.7020000000,13551.7930000000,0.0090000000,20199.9760000000,98546505,98545472,49947,49956,96945348,96945339,96945339,96945339,0,0,1601157,1600133,0.7375167535,0.7375167535
0,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0002.jpg,True,True,0.261090368001504,0.261090368,67.96777582168579,51.19760298728943,16.770172834396362,0,0,1873.8650000000,2196.7200000000,1519.2120000000,27.8830000000,21.8720000000,10.7820000000,25.2090000000,17.9450000000,7.4170000000,23.0500000000,22.8780000000,23.3310000000,20.4110000000,22.6920000000,131.5970000000,13992.3840000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,33921.0130000000,0.3100000000,0.3160000000,18.7620000000,2090.5860000000,13902.9990000000,13835.0670000000,0.0080000000,20018.0040000000,98546496,98545472,49956,49956,96945339,96945340,96945339,96945339,0,0,1601157,1600132,0.2610903680,0.2610903680
1,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg,lfw/Eglis_Yaima_Cruz/Eglis_Yaima_Cruz_0001.jpg,False,False,0.9080880264095341,0.9080880264,68.07512664794922,51.299943685531616,16.775182962417603,0,0,1886.2170000000,2212.4830000000,1519.0640000000,27.6010000000,21.2960000000,9.3590000000,22.4720000000,18.5280000000,6.7450000000,24.0360000000,24.1880000000,27.3850000000,22.1600000000,22.2740000000,133.0770000000,14139.2480000001,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,34003.1380000000,0.3250000000,0.3050000000,21.2930000000,2117.3920000000,13804.4930000000,13740.0860000000,0.0080000000,20198.6340000000,98546505,98545472,49947,49956,96945348,96945339,96945339,96945339,0,0,1601157,1600133,0.9080880264,0.9080880264
