,ref_img,other_img,result,expected_result,cos_dist_np,cos_dist_sfe,total_time,sfe_time,extraction_time,ram_used,energy_used,online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe
0,lfw/Adam_Sandler/Adam_Sandler_0001.jpg,lfw/Adam_Sandler/Adam_Sandler_0002.jpg,True,True,0.43687808611012413,0.4368780861,116.80878019332886,114.85071730613708,1.9580628871917725,0,0,384.1780000000,493.7370000000,467.2000000000,10.8080000000,7.5020000000,7.6360000000,8.8650000000,6.2740000000,7.5220000000,12.9780000000,7.8790000000,19.7380000000,10.1630000000,7.0190000000,66.1830000000,59165.9080000001,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,112319.1040000000,0.1180000000,0.1190000000,450.8150000000,116.6770000000,51597.7620000000,51591.8380000000,0.0030000000,60721.3400000000,86428462,86427438,29220,29220,84827305,84827305,84827305,84827305,0,0,1601157,1600133,0.4368780861,0.4368780861
1,lfw/Adam_Sandler/Adam_Sandler_0001.jpg,lfw/Adam_Sandler/Adam_Sandler_0003.jpg,True,True,0.4204334101461975,0.4204334101,119.45690059661865,117.50511240959167,1.9517881870269775,0,0,380.6960000000,492.0710000000,462.2760000000,9.8560000000,7.2610000000,7.3640000000,9.6530000000,6.5280000000,7.1700000000,12.8920000000,8.2320000000,19.5940000000,10.0560000000,6.6220000000,64.6110000000,60028.3970000002,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,114856.7030000000,0.1180000000,0.1160000000,530.8100000000,123.4210000000,53290.9750000000,53285.3710000000,0.0030000000,61565.7260000000,86428462,86427438,29220,29211,84827305,84827305,84827296,84827305,0,0,1601157,1600133,0.4204334101,0.4204334101
2,lfw/Adam_Sandler/Adam_Sandler_0001.jpg,lfw/Adam_Sandler/Adam_Sandler_0004.jpg,True,True,0.5489594774404449,0.5489594774,120.68774342536926,118.75490546226501,1.932837963104248,0,0,383.3820000000,493.2430000000,468.1140000000,10.2400000000,7.1320000000,7.9710000000,9.3050000000,6.3530000000,7.0020000000,12.7710000000,7.7800000000,18.4390000000,9.7520000000,6.8520000000,65.4930000000,61866.1599999998,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,116123.4060000000,0.1120000000,0.1360000000,522.9170000000,153.3720000000,52707.3870000000,52701.6890000000,0.0020000000,63416.0160000000,86428462,86427438,29220,29211,84827305,84827305,84827305,84827305,0,0,1601157,1600133,0.5489594774,0.5489594774
3,lfw/Adam_Sandler/Adam_Sandler_0001.jpg,lfw/Tomomi_Morita/Tomomi_Morita_0001.jpg,False,False,0.8391489804183897,0.8391489804,135.6251790523529,133.68478178977966,1.9403972625732422,0,0,375.8280000000,482.1520000000,463.6200000000,9.5980000000,7.2140000000,7.2410000000,8.1660000000,6.0630000000,6.2420000000,12.6380000000,7.5780000000,19.6200000000,10.0650000000,6.0680000000,62.4570000000,75761.9490000006,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,131180.8740000000,0.1140000000,0.1190000000,408.1870000000,123.4650000000,53896.7360000000,53892.6600000000,0.0010000000,77284.1370000000,86428462,86427438,29220,29220,84827305,84827305,84827305,84827305,0,0,1601157,1600133,0.8391489804,0.8391489804
4,lfw/Adam_Sandler/Adam_Sandler_0001.jpg,lfw/Mark_Polansky/Mark_Polansky_0001.jpg,False,False,0.8953677454816054,0.8953677455,129.58582162857056,127.63226318359375,1.9535584449768066,0,0,379.7740000000,485.8640000000,463.0910000000,9.4320000000,7.1280000000,7.9050000000,8.7140000000,6.3200000000,7.2120000000,12.6260000000,7.6210000000,18.9830000000,9.9150000000,6.4040000000,64.2220000000,66353.9740000002,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,124913.3540000000,0.1190000000,0.1130000000,636.4750000000,131.3860000000,57019.5060000000,57013.7260000000,0.0030000000,67893.8450000000,86428471,86427438,29211,29220,84827314,84827305,84827296,84827305,0,0,1601157,1600133,0.8953677455,0.8953677455
5,lfw/Adam_Sandler/Adam_Sandler_0001.jpg,lfw/Gerald_Barbarito/Gerald_Barbarito_0001.jpg,False,False,1.1007947156944764,1.1007947157,136.34549260139465,134.4057719707489,1.939720630645752,0,0,372.6990000000,482.4770000000,460.8470000000,9.9510000000,7.0230000000,6.8530000000,8.5120000000,6.2150000000,7.9160000000,13.4490000000,7.7520000000,20.4410000000,9.3390000000,6.4250000000,64.7690000000,73425.5090000001,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,131846.6850000000,0.1150000000,0.1260000000,523.3800000000,118.8300000000,56899.5920000000,56893.8500000000,0.0030000000,74947.0900000000,86428462,86427438,29220,29220,84827305,84827305,84827296,84827305,0,0,1601157,1600133,1.1007947157,1.1007947157
0,lfw/Adam_Scott/Adam_Scott_0001.jpg,lfw/Adam_Scott/Adam_Scott_0002.jpg,False,True,0.9180929161523772,0.9180929162,116.63248181343079,114.6911268234253,1.9413549900054932,0,0,390.9890000000,503.2150000000,475.0520000000,11.3480000000,7.3050000000,7.4260000000,8.8840000000,7.0190000000,6.9600000000,12.7970000000,8.1370000000,18.8690000000,9.4710000000,6.6100000000,63.8230000000,59630.8359999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,112180.0350000000,0.1210000000,0.1380000000,422.8800000000,145.5190000000,50973.1970000000,50967.1680000000,0.0030000000,61206.8340000000,86428471,86427438,29211,29220,84827314,84827305,84827296,84827305,0,0,1601157,1600133,0.9180929162,0.9180929162
1,lfw/Adam_Scott/Adam_Scott_0001.jpg,lfw/Diana_Silvius/Diana_Silvius_0001.jpg,False,False,0.7358621332385314,0.7358621332,119.16448998451233,117.22584176063538,1.9386482238769531,0,0,391.5920000000,500.7500000000,482.1260000000,10.4490000000,7.8050000000,7.1330000000,9.1350000000,6.4010000000,7.4840000000,11.8970000000,7.6750000000,19.3470000000,9.8710000000,6.6070000000,64.9010000000,61392.9489999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,114645.6040000000,0.1070000000,0.1350000000,467.5000000000,150.2340000000,51674.1660000000,51667.6900000000,0.0040000000,62971.4360000000,86428462,86427438,29220,29220,84827305,84827305,84827296,84827305,0,0,1601157,1600133,0.7358621332,0.7358621332
0,lfw/Adel_Al-Jubeir/Adel_Al-Jubeir_0001.jpg,lfw/Adel_Al-Jubeir/Adel_Al-Jubeir_0002.jpg,True,True,0.3970846263519964,0.3970846264,123.49466848373413,121.54107546806335,1.9535930156707764,0,0,387.8600000000,494.7190000000,475.6110000000,10.3160000000,7.2940000000,7.7470000000,10.4850000000,6.4970000000,6.7910000000,13.7370000000,7.7350000000,19.3890000000,9.4010000000,6.5460000000,66.2780000000,59889.4060000003,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,118945.0870000000,0.1090000000,0.1380000000,551.4410000000,150.1530000000,57485.8140000000,57479.9670000000,0.0030000000,61459.2700000000,86428462,86427438,29220,29211,84827305,84827305,84827296,84827305,0,0,1601157,1600133,0.3970846264,0.3970846264
1,lfw/Adel_Al-Jubeir/Adel_Al-Jubeir_0001.jpg,lfw/Adel_Al-Jubeir/Adel_Al-Jubeir_0003.jpg,True,True,0.3287507224160222,0.3287507224,122.76814770698547,120.82650923728943,1.941638469696045,0,0,390.4350000000,500.6290000000,479.3470000000,10.2260000000,7.9630000000,7.1220000000,9.2790000000,6.3810000000,7.7710000000,12.7130000000,7.6880000000,20.4440000000,10.9060000000,6.8900000000,72.5580000000,61209.2220000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,118403.7780000000,0.1140000000,0.1280000000,338.6610000000,126.1050000000,55612.7860000000,55607.0020000000,0.0040000000,62790.9880000000,86428471,86427438,29211,29211,84827314,84827305,84827296,84827305,0,0,1601157,1600133,0.3287507224,0.3287507224
