,ref_img,other_img,result,expected_result,cos_dist_np,cos_dist_sfe,total_time,sfe_time,extraction_time,ram_used,energy_used,online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe
0,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0002.jpg,True,True,0.2064672729369681,0.2064672729,61.458643198013306,46.51221799850464,14.946425199508667,0,0,1888.6660000000,2225.0170000000,1528.7150000000,23.3090000000,17.7610000000,11.6030000000,23.3930000000,22.0470000000,6.2360000000,25.7970000000,20.1500000000,31.9550000000,24.7690000000,19.9560000000,123.5640000000,14117.6160000001,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,32267.1140000000,0.3710000000,0.3130000000,13.0690000000,142.7880000000,12074.1260000000,12016.0580000000,0.0070000000,20192.9790000000,62192439,62191406,10523,10532,60591282,60591273,60591273,60591273,0,0,1601157,1600133,0.2064672729,0.2064672729
1,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0003.jpg,True,True,0.41308655913370573,0.4130865591,63.76780605316162,47.4261372089386,16.341668844223022,0,0,1885.2320000000,2235.3530000000,1516.2230000000,22.8670000000,18.9240000000,9.0720000000,22.4140000000,19.8520000000,5.9100000000,28.1220000000,19.7670000000,25.4470000000,23.9730000000,22.5480000000,127.4070000000,14164.6010000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,32277.3160000000,0.3210000000,0.3120000000,21.0740000000,145.8000000000,12050.6780000000,11986.5350000000,0.0070000000,20226.6270000000,62192439,62191406,10523,10532,60591282,60591273,60591264,60591273,0,0,1601157,1600133,0.4130865591,0.4130865591
2,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0004.jpg,True,True,0.483093951538731,0.4830939515,64.13433909416199,47.44520425796509,16.6891348361969,0,0,1892.1290000000,2230.1270000000,1536.6470000000,26.8750000000,21.0660000000,9.8590000000,23.8490000000,22.6880000000,5.9960000000,23.5240000000,20.9820000000,30.4180000000,23.7020000000,21.7670000000,127.3440000000,14070.0269999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,32265.5260000000,0.3380000000,0.3090000000,14.0950000000,146.3020000000,12098.9690000000,12032.2540000000,0.0090000000,20166.5480000000,62192439,62191406,10523,10532,60591282,60591273,60591273,60591273,0,0,1601157,1600133,0.4830939515,0.4830939515
3,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Chung_Mong-joon/Chung_Mong-joon_0001.jpg,False,False,0.7219040092735267,0.7219040093,64.4586341381073,47.678966760635376,16.779667377471924,0,0,1888.9080000000,2233.2910000000,1534.3040000000,24.8400000000,17.6650000000,10.4100000000,25.2340000000,20.3110000000,7.0130000000,26.7720000000,20.1410000000,28.0560000000,24.4840000000,23.6300000000,120.9820000000,14096.1750000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,32313.3990000000,0.3530000000,0.3300000000,21.7850000000,145.2300000000,12131.5440000000,12067.0320000000,0.0070000000,20181.8450000000,62192439,62191406,10523,10532,60591282,60591273,60591264,60591273,0,0,1601157,1600133,0.7219040093,0.7219040093
4,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Carla_Gay_Balingit/Carla_Gay_Balingit_0001.jpg,False,False,0.9828567952975873,0.9828567953,64.60342621803284,47.73790192604065,16.865524291992188,0,0,1883.0430000000,2230.3940000000,1522.5460000000,28.3060000000,20.7110000000,9.8070000000,26.4770000000,23.1810000000,6.3040000000,24.2490000000,21.2860000000,30.2550000000,24.6230000000,20.9890000000,128.6250000000,14176.2319999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,32363.6320000000,0.3430000000,0.3130000000,18.7410000000,140.3480000000,12104.1960000000,12038.9360000000,0.0070000000,20259.4280000000,62192439,62191406,10523,10532,60591282,60591273,60591273,60591273,0,0,1601157,1600133,0.9828567953,0.9828567953
5,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Carlos_Ruiz/Carlos_Ruiz_0002.jpg,False,False,0.8634222418686179,0.8634222419,64.60183906555176,47.84395098686218,16.757888078689575,0,0,1895.0990000000,2234.0600000000,1521.8550000000,28.8240000000,20.3770000000,10.5100000000,24.4420000000,22.5220000000,6.8180000000,23.6250000000,21.7190000000,30.8750000000,24.3610000000,21.6820000000,117.5400000000,14108.1810000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,32304.1420000000,0.3390000000,0.3220000000,16.9330000000,145.1790000000,12111.6050000000,12045.3890000000,0.0080000000,20192.5270000000,62192430,62191406,10532,10532,60591273,60591273,60591265,60591273,0,0,1601157,1600133,0.8634222419,0.8634222419
0,lfw/Aaron_Sorkin/Aaron_Sorkin_0001.jpg,lfw/Aaron_Sorkin/Aaron_Sorkin_0002.jpg,True,True,0.393394703513807,0.3933947035,64.4194107055664,47.75602602958679,16.663384675979614,0,0,1882.3890000000,2227.6540000000,1518.8630000000,25.4420000000,19.0260000000,8.6980000000,21.8870000000,22.5580000000,5.9490000000,25.4190000000,20.9690000000,30.3720000000,24.3780000000,20.9420000000,127.4320000000,14204.8820000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,32410.7830000000,0.3190000000,0.3340000000,21.7140000000,147.0330000000,12145.9820000000,12081.8580000000,0.0080000000,20264.7900000000,62192439,62191406,10523,10532,60591282,60591273,60591264,60591273,0,0,1601157,1600133,0.3933947035,0.3933947035
1,lfw/Aaron_Sorkin/Aaron_Sorkin_0001.jpg,lfw/Silvio_Fernandez/Silvio_Fernandez_0001.jpg,False,False,0.6645435353931293,0.6645435354,64.41637420654297,47.71955108642578,16.696823120117188,0,0,1888.9050000000,2220.9330000000,1532.1330000000,25.8660000000,18.0310000000,8.7450000000,27.0420000000,21.4670000000,6.4040000000,25.8330000000,21.6000000000,26.7090000000,24.2820000000,22.4210000000,116.7680000000,14110.7720000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,32345.0440000000,0.3550000000,0.3300000000,17.3570000000,147.6680000000,12167.8130000000,12103.3590000000,0.0090000000,20177.2220000000,62192439,62191406,10523,10532,60591282,60591273,60591264,60591273,0,0,1601157,1600133,0.6645435354,0.6645435354
0,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0002.jpg,True,True,0.261090368001504,0.261090368,64.31318688392639,47.62066054344177,16.69252634048462,0,0,1886.9960000000,2220.5570000000,1530.6920000000,23.4410000000,19.2560000000,12.2450000000,26.4050000000,21.6770000000,6.6920000000,28.1400000000,19.6850000000,32.3780000000,25.5070000000,22.0750000000,134.5610000000,14022.1639999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,32191.9620000000,0.3360000000,0.3340000000,23.7390000000,158.1720000000,12078.1740000000,12012.7120000000,0.0090000000,20113.7800000000,62192439,62191406,10523,10532,60591282,60591273,60591273,60591273,0,0,1601157,1600133,0.2610903680,0.2610903680
1,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg,lfw/Thomas_Wilkens/Thomas_Wilkens_0001.jpg,False,False,1.0128082441483193,1.0128082441,64.62477779388428,47.766197681427,16.858580112457275,0,0,1883.8750000000,2206.6370000000,1519.5530000000,26.7900000000,19.7870000000,10.5360000000,24.1710000000,20.5960000000,6.4860000000,25.5510000000,19.6830000000,27.9760000000,25.7490000000,22.1780000000,125.9190000000,14202.6820000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,32368.2610000000,0.3290000000,0.4050000000,17.5830000000,142.9360000000,12116.0650000000,12051.3910000000,0.0080000000,20252.1860000000,62192439,62191406,10523,10532,60591282,60591273,60591264,60591273,0,0,1601157,1600133,1.0128082441,1.0128082441
