,ref_img,other_img,result,expected_result,cos_dist_np,cos_dist_sfe,total_time,sfe_time,extraction_time,ram_used,energy_used,online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe
0,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0002.jpg,True,True,0.2064672729369681,0.2064672729,110.51890897750854,95.59951329231262,14.919395685195923,0,0,2043.7210000000,2385.5390000000,1709.5760000000,31.9120000000,22.9060000000,10.6890000000,24.3290000000,20.9660000000,8.6650000000,28.4750000000,19.8580000000,25.9710000000,26.0860000000,22.8160000000,168.1330000000,41256.9389999998,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,80085.6130000000,0.4400000000,0.3320000000,71.0450000000,1925.0690000000,32189.0330000000,32126.0140000000,0.0080000000,47896.5710000000,98546487,98545454,49947,49956,96945330,96945321,96945321,96945321,0,0,1601157,1600133,0.2064672729,0.2064672729
1,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0003.jpg,True,True,0.41308655913370573,0.4130865591,111.13949465751648,96.1863579750061,14.953136682510376,0,0,2034.2640000000,2359.7770000000,1710.3510000000,30.9610000000,22.8800000000,12.6560000000,22.3510000000,20.4050000000,8.8080000000,26.1270000000,19.6890000000,24.6730000000,22.0350000000,21.6090000000,150.5390000000,41622.1160000001,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,80387.3770000000,0.3550000000,0.3830000000,306.9440000000,1949.6640000000,32188.0440000000,32118.7400000000,0.0100000000,48199.3230000000,98546487,98545454,49947,49956,96945330,96945321,96945313,96945321,0,0,1601157,1600133,0.4130865591,0.4130865591
2,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0004.jpg,True,True,0.483093951538731,0.4830939515,111.58502888679504,96.54900932312012,15.036019563674927,0,0,2049.6520000000,2370.5380000000,1701.9900000000,31.6720000000,22.4370000000,12.1370000000,25.6230000000,19.2840000000,10.8650000000,29.8890000000,19.2040000000,24.8100000000,22.0760000000,22.9450000000,156.0030000000,41808.1670000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,80675.5540000000,0.3440000000,0.3520000000,25.9630000000,2007.0470000000,32260.3550000000,32201.3410000000,0.0090000000,48415.0630000000,98546487,98545454,49947,49956,96945330,96945321,96945312,96945321,0,0,1601157,1600133,0.4830939515,0.4830939515
3,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/James_Franco/James_Franco_0001.jpg,False,False,0.8847823943430266,0.8847823943,111.91142964363098,96.8151547908783,15.096274852752686,0,0,2057.4460000000,2382.4250000000,1712.0650000000,32.9050000000,22.4730000000,11.0680000000,24.6710000000,20.9840000000,8.6940000000,26.5730000000,19.8060000000,24.0250000000,24.6770000000,26.5460000000,157.1600000000,42398.9479999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,80875.7230000000,0.2980000000,0.2940000000,22.4250000000,2030.3280000000,31840.1950000000,31774.6410000000,0.0080000000,49035.5180000000,98546487,98545454,49947,49956,96945330,96945321,96945313,96945321,0,0,1601157,1600133,0.8847823943,0.8847823943
4,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Diana_Taurasi/Diana_Taurasi_0002.jpg,False,False,0.8744764716593739,0.8744764717,111.90547895431519,96.67426061630249,15.231218338012695,0,0,2057.5490000000,2367.9990000000,1731.8060000000,32.5470000000,24.1320000000,11.5100000000,22.5660000000,20.5700000000,11.1720000000,29.0980000000,20.0710000000,24.0650000000,21.6820000000,24.3450000000,145.6290000000,42296.8339999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,80778.4850000000,0.3980000000,0.3260000000,23.9720000000,2008.3010000000,31846.5440000000,31783.8650000000,0.0090000000,48931.9310000000,98546487,98545454,49947,49956,96945330,96945321,96945321,96945321,0,0,1601157,1600133,0.8744764717,0.8744764717
5,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Jean-Sebastien_Giguere/Jean-Sebastien_Giguere_0002.jpg,False,False,0.8756688104307181,0.8756688104,111.56726813316345,96.31671166419983,15.250556468963623,0,0,2046.4240000000,2374.3700000000,1718.4880000000,31.9000000000,23.5740000000,11.3390000000,25.8550000000,20.9570000000,9.6910000000,28.9470000000,19.6560000000,25.1410000000,20.5690000000,21.8670000000,148.3150000000,41804.2000000001,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,80102.5640000000,0.3440000000,0.3390000000,21.8180000000,2002.9260000000,31687.4950000000,31627.8580000000,0.0090000000,48415.0600000000,98546487,98545454,49947,49956,96945330,96945321,96945312,96945321,0,0,1601157,1600133,0.8756688104,0.8756688104
0,lfw/Aaron_Sorkin/Aaron_Sorkin_0001.jpg,lfw/Aaron_Sorkin/Aaron_Sorkin_0002.jpg,True,True,0.393394703513807,0.3933947035,110.83096241950989,95.78179907798767,15.049163341522217,0,0,2032.1900000000,2364.6510000000,1718.0170000000,33.2390000000,25.5360000000,13.1930000000,26.2100000000,20.4630000000,10.2380000000,28.2250000000,20.0680000000,22.0750000000,21.3410000000,23.4700000000,147.2990000000,41741.0899999998,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,79982.7370000000,0.3900000000,0.3370000000,19.8870000000,2001.5680000000,31645.3460000000,31586.4530000000,0.0070000000,48337.3810000000,98546487,98545454,49947,49956,96945330,96945321,96945321,96945321,0,0,1601157,1600133,0.3933947035,0.3933947035
1,lfw/Aaron_Sorkin/Aaron_Sorkin_0001.jpg,lfw/Federico_Castelan_Sayre/Federico_Castelan_Sayre_0001.jpg,False,False,0.9945244832850632,0.9945244833,112.88272714614868,97.58706736564636,15.29565978050232,0,0,2058.8000000000,2379.6990000000,1739.8800000000,33.5530000000,23.6310000000,11.9660000000,25.8570000000,20.2900000000,9.7190000000,26.6070000000,20.1300000000,25.6650000000,22.2050000000,23.7390000000,153.4290000000,41996.4920000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,81581.1180000000,0.3190000000,0.3240000000,32.0260000000,1993.4520000000,32921.4900000000,32862.0320000000,0.0080000000,48659.6170000000,98546487,98545454,49947,49956,96945330,96945321,96945312,96945321,0,0,1601157,1600133,0.9945244833,0.9945244833
0,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0002.jpg,True,True,0.261090368001504,0.261090368,111.96112084388733,96.84423899650574,15.116881847381592,0,0,2063.8330000000,2388.2410000000,1704.2890000000,32.1680000000,22.7810000000,12.6750000000,26.7680000000,19.7000000000,8.7280000000,27.0270000000,19.8910000000,22.9250000000,22.4000000000,21.5340000000,145.8120000000,41674.4540000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,80810.9250000000,0.4830000000,0.3160000000,22.8380000000,2042.2310000000,32511.5410000000,32449.3220000000,0.0080000000,48299.3720000000,98546487,98545454,49947,49956,96945330,96945321,96945313,96945321,0,0,1601157,1600133,0.2610903680,0.2610903680
1,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg,lfw/Jamie_Dimon/Jamie_Dimon_0001.jpg,False,False,0.9229591268638704,0.9229591269,112.57593703269958,97.26668071746826,15.309256315231323,0,0,2067.3800000000,2396.3000000000,1752.6410000000,36.3290000000,24.5850000000,11.2640000000,29.2730000000,20.6940000000,10.2510000000,29.6210000000,20.9990000000,24.7220000000,24.1060000000,21.8060000000,158.8470000000,42062.0610000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,81220.3480000000,0.3250000000,0.3500000000,32.3710000000,2031.2740000000,32438.9900000000,32379.8330000000,0.0080000000,48781.3490000000,98546487,98545454,49947,49956,96945330,96945321,96945321,96945321,0,0,1601157,1600133,0.9229591269,0.9229591269
0,lfw/Abdoulaye_Wade/Abdoulaye_Wade_0001.jpg,lfw/Abdoulaye_Wade/Abdoulaye_Wade_0002.jpg,True,True,0.5056485571086422,0.5056485571,112.62867546081543,97.30457997322083,15.324095487594604,0,0,2056.2720000000,2390.5920000000,1721.2450000000,33.8760000000,22.9770000000,12.4510000000,23.4280000000,21.4700000000,10.9170000000,28.1360000000,20.3870000000,25.3460000000,20.5500000000,22.3110000000,148.5180000000,41976.2880000002,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,81253.9170000000,0.3810000000,0.3270000000,26.6190000000,2053.7010000000,32630.5300000000,32564.7210000000,0.0080000000,48623.3760000000,98546487,98545454,49947,49956,96945330,96945321,96945313,96945321,0,0,1601157,1600133,0.5056485571,0.5056485571
1,lfw/Abdoulaye_Wade/Abdoulaye_Wade_0001.jpg,lfw/Abdoulaye_Wade/Abdoulaye_Wade_0003.jpg,False,True,0.6268200147005862,0.6268200147,112.02792406082153,96.76581454277039,15.262109518051147,0,0,2069.7900000000,2393.8000000000,1731.8290000000,31.5210000000,22.5610000000,12.8260000000,22.6130000000,20.8180000000,7.9880000000,29.0290000000,20.5030000000,23.6100000000,22.6100000000,25.4920000000,152.8220000000,41675.8540000001,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,80561.4060000000,0.3460000000,0.3400000000,27.6630000000,2054.9840000000,32207.4620000000,32146.7010000000,0.0080000000,48353.9330000000,98546487,98545454,49947,49956,96945330,96945321,96945321,96945321,0,0,1601157,1600133,0.6268200147,0.6268200147
